Koala ID, vcf ID,State,LGA,Latitude,Longitude
M.50273.001,Armidale-F-M50273,NSW,Armidale,-30.5005556,151.6863889
M.46224.001,,NSW,Armidale,-30.485,151.6422222
M.46225.001,,NSW,Armidale,-30.485,151.6422222
M.47070.001,,NSW,Armidale,-30.5144444,151.6669444
C10478,,VIC,Badger Creek,-37.685657,145.531903
M.50439.001,,NSW,Ballina Shire,-28.7955556,153.4480556
M.44977.001,Coffs-Harbour-F-M44977,NSW,Bellingen,-30.4244444,153.025
M.50543.002,M50543_001,NSW,Blayney,-33.5166667,149.25
M.50543.001,,NSW,Blayney,-33.5166667,149.25
53089,,QLD,Bundaberg,-24.9903002,151.9531564
54277,,QLD,Bundaberg,-24.7636899,152.4055588
73412,,QLD,Bundaberg,-24.8632707843684,152.348940194404
M.50503.001,Byron_F_M50503,NSW,Byron,-28.5344444,153.5391667
M.50452.001,Byron_M_M50452,NSW,Byron,-28.6608333,153.4744444
M.50504.001,Byron_U_M50504,NSW,Byron,-28.6447222,153.5555556
M.50431.001,Byron-F-M50431,NSW,Byron,-28.6547222,153.5155556
M.50430.001,Byron-M-M50430,NSW,Byron,-28.6444444,153.4344444
M.50435.001,Byron-M-M50435,NSW,Byron,-28.6613889,153.6097222
M.50306.001,M50306_001,NSW,Byron,-28.6575,153.5972222
M.50370.001,M50370_001,NSW,Byron,-28.6644444,153.4525
M.50373.001,M50373_001,NSW,Byron,-28.6561111,153.4519444
M.50392.001,M50392_001,NSW,Byron,-28.6605556,153.4961111
M.50393.001,M50393_001,NSW,Byron,-28.6605556,153.6141667
M.50297.001,,NSW,Byron,-28.5461111,153.3730556
M.50304.001,,NSW,Byron,-28.6675,153.5225
M.50305.001,,NSW,Byron,-28.6472222,153.4377778
M.50317.001,,NSW,Byron,-28.6041667,153.555
M.50351.001,,NSW,Byron,-28.6266667,153.4275
M.50378.001,,NSW,Byron,-28.5397222,153.5436111
M.50443.001,,NSW,Byron,-28.6641667,153.4958333
M.50459.001,,NSW,Byron,-28.6477778,153.4336111
M.50466.001,,NSW,Byron,-28.655,153.4480556
M.50475.001,,NSW,Byron,-28.6152778,153.4516667
C12-K2 ,CBTown_F_C12K2,NSW,Campbelltown,-34.137088,150.793334
C12-K4,CBTown_F_C12K4,NSW,Campbelltown,-34.133587,150.79399
C5-K7,CBTown_F_C5K7,NSW,Campbelltown,-34.06655,150.882033
C6-K5,CBTown_F_C6K5,NSW,Campbelltown,-34.09594,150.850452
C7-K2,CBTown_F_C7K2,NSW,Campbelltown,-34.111288,150.834425
C10-K1,CBTown_M_C10K1,NSW,Campbelltown,-34.080192,150.849938
C10-K4,CBTown_M_C10K4,NSW,Campbelltown,-34.078486,150.863466
C11-K1,CBTown_M_C11K1,NSW,Campbelltown,-34.111827,150.809471
C12-K3,CBTown_M_C12K3,NSW,Campbelltown,-34.133855,150.795185
C5-K8,CBTown_M_C5K8,NSW,Campbelltown,-34.061552,150.886832
C6-K1,CBTown_M_C6K1,NSW,Campbelltown,-34.087346,150.854059
C11-K2,CBTown-F-C11K2,NSW,Campbelltown,-34.110833,150.811139
C6-K2,CBTown-M-C6K2,NSW,Campbelltown,-34.097009,150.84372
K1,,NSW,Campbelltown,-34.0610908615996,150.814017371942
K2,,NSW,Campbelltown,-34.0610908615996,150.814017371942
ET yellow 32,COtway-F-Y32,VIC,Cape Otway,-38.8239009,143.5069583
ET yellow 37,COtway-F-Y37,VIC,Cape Otway,-38.8187414,143.4967232
ET yellow 49,COtway-F-Y49,VIC,Cape Otway,-38.8376315,143.5086499
ET yellow 60,COtway-F-Y60,VIC,Cape Otway,-38.8272011,143.5131212
ET yellow 40,COtway-M-Y40,VIC,Cape Otway,-38.8343258,143.5102847
ET yellow 34,,VIC,Cape Otway,-38.8235762,143.5065554
ET yellow 35,,VIC,Cape Otway,-38.8287951,143.5106432
ET yellow 38,,VIC,Cape Otway,-38.8055254,144.0733792
ET yellow 39,,VIC,Cape Otway,-38.8196118,143.495625
ET yellow 41,,VIC,Cape Otway,-38.8349486,143.5064591
ET yellow 42,,VIC,Cape Otway,-38.8348968,143.5063536
ET yellow 43,,VIC,Cape Otway,-38.8350808,143.5061758
ET yellow 45,,VIC,Cape Otway,-38.8349431,143.5075533
ET yellow 47,,VIC,Cape Otway,-38.8381462,143.5090136
ET yellow 50,,VIC,Cape Otway,-38.8367233,143.5081457
ET yellow 51,,VIC,Cape Otway,-38.8369047,143.5085092
ET yellow 53,,VIC,Cape Otway,-38.8318142,143.5114404
ET yellow 54,,VIC,Cape Otway,-38.8318142,143.5114404
ET yellow 55,,VIC,Cape Otway,-38.8318142,143.5114404
ET yellow 58,,VIC,Cape Otway,-38.8280287,143.5110885
ET yellow 59,,VIC,Cape Otway,-38.8274526,143.5127384
ET yellow 64,,VIC,Cape Otway,-38.8260412,143.5117558
73176,,QLD,Central Highlands,-23.5242747,148.1582907
M.50294.001,M50294_001,NSW,Clarence Valley,-29.6413889,152.8608333
M.50344.001,M50344_001,NSW,Clarence Valley,-29.5702778,152.76
M.50359.001,M50359_001,NSW,Clarence Valley,-29.6083333,152.8758333
72228,,NSW,Clarence Valley,-29.6816894,152.9336547
72228,,NSW,Clarence Valley,-29.6816894,152.9336547
79268,,NSW,Clarence Valley,-29.6816894,152.9336547
M.50437.001,SClarence-F-M50437,NSW,Clarence Valley,-29.5941667,152.9161111
M.50499.001,Graft_M_M50499,NSW,Clarence Valley,-29.6072222,152.8466667
M.47046.001,Coffs-Harbour-F-M47046,NSW,Coffs Harbour,-30.3511111,153.1019444
M.44980.001,,NSW,Coffs Harbour,-30.4080556,153.0275
M.44984.001,,NSW,Coffs Harbour,-30.4066667,153.0261111
M.47045.001,,NSW,Coffs Harbour,-30.3186111,153.1094444
M.47421.002,,NSW,Coonamble,-30.9525,148.3886111
C11358,Dubbo_U_C11358,NSW,Dubbo,-33.55611,149.6367
C11413,Dubbo_U_C11413,NSW,Dubbo,-32.55611,149.6367
C11512,Dubbo-U-C11512,NSW,Dubbo,-32.2444,148.6144
51032,FCoast-F-51032,QLD,Fraser Coast,-25.9471238,152.6431933
48355,,QLD,Fraser Coast,-26.6277,152.6639
57909,Fraser_U_57909,QLD,Fraser Coast,-25.5384947,152.7034191
61304,FCoast-M-61304,QLD,Fraser Coast,-25.5384947,152.7034191
61304,,QLD,Fraser Coast,-25.5384947,152.7034191
61459,FCoast-M-61459,QLD,Fraser Coast,-25.832851,152.541594
61459,,QLD,Fraser Coast,-25.832851,152.541594
62993,,QLD,Fraser Coast,-25.6675589,152.8951616
71741,,QLD,Fraser Coast,-25.5384947,152.7034191
72461,Fraser_F_72461,QLD,Fraser Coast,-25.5513899,152.6771004
72855,,QLD,Fraser Coast,-25.5513899,152.6771004
72855,,QLD,Fraser Coast,-25.5513899,152.6771004
73187,,QLD,Fraser Coast,-25.2834911,152.8319332
73187,,QLD,Fraser Coast,-25.2834911,152.8319332
73217,,QLD,Fraser Coast,-25.5513899,152.6771004
77266,Fraser_M_77266,QLD,Fraser Coast,-25.5513899,152.6771004
79150,,QLD,Fraser Coast,-25.3610544,152.907736
79919,,QLD,Fraser Coast,-25.5513899,152.6771004
79919,,QLD,Fraser Coast,-25.5513899,152.6771004
79972,,QLD,Fraser Coast,-25.5513899,152.6771004
79972,,QLD,Fraser Coast,-25.5513899,152.6771004
80923,,QLD,Fraser Coast,-25.5513899,152.6771004
87546,,QLD,Fraser Coast,-25.3610544,152.907736
87546,,QLD,Fraser Coast,-25.3610544,152.907736
89909,,QLD,Fraser Coast,-25.2881539,152.7676633
93594,FCoast-M-93594,QLD,Fraser Coast,-25.2881539,152.7676633
SAWS21,F-SAWS21-FRIS,VIC,French Island,-38.3489,145.3365
SAWS22,M-SAWS22-FRIS,VIC,French Island,-38.3489,145.3365
K11,Gelantipy-F-K11,VIC,Gelantipy,-37.2326779999999,148.26029
K13,Gelantipy-F-K13,VIC,Gelantipy,-37.1336959999999,148.245191
K15,Gelantipy-F-K15,VIC,Gelantipy,-37.1799289999999,148.269235
K16,Gelantipy-F-K16,VIC,Gelantipy,-37.1832749999999,148.269178
K17,Gelantipy-F-K17,VIC,Gelantipy,-37.1875019999999,148.269076
K18,Gelantipy-F-K18,VIC,Gelantipy,-37.1781899999999,148.257075
K20,Gelantipy-F-K20,VIC,Gelantipy,-37.1687499999999,148.262523
K12,Gelantipy-M-K12,VIC,Gelantipy,-37.1360869999999,148.242627
K14,Gelantipy-M-K14,VIC,Gelantipy,-37.1787809999999,148.260336
K19,Gelantipy-M-K19,VIC,Gelantipy,-37.1676309999999,148.263033
K5,Gelantipy-M-K5,VIC,Gelantipy,-37.2236749999999,148.261692
C00032_Rain,,VIC,Gelantipy,-37.2326779999999,148.26029
C00040_Skye ,,VIC,Gelantipy,-37.2326779999999,148.26029
C00041_Jeremy,,VIC,Gelantipy,-37.2326779999999,148.26029
C00054_Toby,,VIC,Gelantipy,-37.2326779999999,148.26029
C00125_Emily,,VIC,Gelantipy,-37.2326779999999,148.26029
C00174_Rivers,,VIC,Gelantipy,-37.2326779999999,148.26029
C00220_Ned,,VIC,Gelantipy,-37.2326779999999,148.26029
C01147_Janis,,VIC,Gelantipy,-37.2326779999999,148.26029
C01147_Janis,,VIC,Gelantipy,-37.2326779999999,148.26029
C11617_Biscuit,,VIC,Gelantipy,-37.2326779999999,148.26029
C11715_Renae,,VIC,Gelantipy,,
K1,,VIC,Gelantipy,-37.2211319999999,148.263544
K10,,VIC,Gelantipy,-37.2326779999999,148.26029
K2,,VIC,Gelantipy,-37.2211319999999,148.263544
K3,,VIC,Gelantipy,-37.2211319999999,148.263544
K4,,VIC,Gelantipy,-37.2211319999999,148.263544
K6,,VIC,Gelantipy,-37.2241279999999,148.261027
K7,,VIC,Gelantipy,-37.2220099999999,148.263899
K8,,VIC,Gelantipy,-37.2220099999999,148.263899
K9,,VIC,Gelantipy,-37.2329929999999,148.260433
M.47417.002,,NSW,Gilgandra,-31.4405556,148.9108333
54909,GCoast-F-54909,QLD,Gold Coast,-27.9724734,153.2679233
54910,GCoast-M-54910,QLD,Gold Coast,-27.9718794,153.4063059
54980,GCoast-M-54980,QLD,Gold Coast,-28.136167,153.3173518
56090,GCoast-M-56090,QLD,Gold Coast,-27.9361398,153.3603181
61808,GCoast-M-61808,QLD,Gold Coast,-28.162932,153.2136465
62309,GCoast-M-62309,QLD,Gold Coast,-27.9479072,153.3981772
66922,GCoast-M-66922,QLD,Gold Coast,-28.2051363,153.3954367
70414,GCoast-M-70414,QLD,Gold Coast,-28.1374671,153.4755579
71441,GCoast-M-71441,QLD,Gold Coast,-28.0905164,153.3662878
72932,GCoast-M-78719,QLD,Gold Coast,-28.1099597,153.4055706
73344,GCoast-M-84814,QLD,Gold Coast,-27.9388577,153.2711529
55251,,QLD,Gold Coast,-28.0211195,153.3102439
56198,,QLD,Gold Coast,-28.3322568,153.3827556
61832,,QLD,Gold Coast,-27.8040837,153.1771087
68234,,QLD,Gold Coast,-28.0677329,153.397418
70176,,QLD,Gold Coast,-27.9562745,153.366094
73511,GCoast-F-73511,QLD,Gold Coast,-28.0376171,153.2722419
78719,,QLD,Gold Coast,-27.9886155,153.2429915
84814,,QLD,Gold Coast,-28.140456,153.4284883
93593,,QLD,Gold Coast,-27.846439,153.343953
M.45019.001,,NSW,Grafton,-29.6819444,152.935
M.49249.001,Gundagai-M-M49249,NSW,Gundagai,-29.0088889,153.3975
C11085,Dubbo-U-C11085,NSW,Gunnedah,-30.9923,150.2369
DECC104,F-DECC104-GUH,NSW,Gunnedah,-30.9855488893933,150.243011995726
DECC130,F-DECC130-GUH,NSW,Gunnedah,-30.9855488893933,150.243011995726
DECC137F,F-DECC137F-GUH,NSW,Gunnedah,-30.9855488893933,150.243011995726
DECC162,F-DECC162-GUH,NSW,Gunnedah,-30.9855488893933,150.243011995726
USYD062F,F-USYD062F-GUH,NSW,Gunnedah,-30.9855488893933,150.243011995726
USYD089F,F-USYD089F-GUH,NSW,Gunnedah,-30.9855488893933,150.243011995726
DECC015,M-DECC015-GUH,NSW,Gunnedah,-30.9855488893933,150.243011995726
DECC076,M-DECC076-GUH,NSW,Gunnedah,-30.9855488893933,150.243011995726
USYD014,M-USYD014-GUH,NSW,Gunnedah,-30.9855488893933,150.243011995726
USYD040,M-USYD040-GUH,NSW,Gunnedah,-30.9855488893933,150.243011995726
USYD098M,M-USYD098M-GUH,NSW,Gunnedah,-30.9855488893933,150.243011995726
M.49020.001,M49020_001,NSW,Gunnedah,-31.1333333,150.0333333
M.49021.001,M49021_001,NSW,Gunnedah,-31.1302778,149.995
M.49023.001,M49023_001,NSW,Gunnedah,-31.1786111,150.3172222
DECC071,,NSW,Gunnedah,-30.9855488893933,150.243011995726
M.46160.001,,NSW,Gunnedah,-30.9769444,150.2516667
M.46161.001,Liverpool-Plains-M-M46161,NSW,Gunnedah,-30.9769444,150.2516667
M.46952.002,,NSW,Gunnedah,-30.9769444,150.2516667
M.48961.001,Liverpool-Plains-F-M48961,NSW,Gunnedah,-31.1144444,150.0269444
M.48962.001,Liverpool-Plains-F-M48962,NSW,Gunnedah,-31.2308333,150.34
M.48964.001,,NSW,Gunnedah,-31.2511111,150.3177778
M.48967.001,,NSW,Gunnedah,-31.2566667,150.3336111
M.48973.001,,NSW,Gunnedah,-31.2219444,150.36
M.48974.001,Liverpool-Plains-F-M48974,NSW,Gunnedah,-31.2036111,150.3672222
M.48983.001,Liverpool-Plains-M-M48983,NSW,Gunnedah,-31.1369444,150.0602778
M.49001.001,,NSW,Gunnedah,-31.2108333,150.3663889
M.49019.001,,NSW,Gunnedah,-31.1277778,149.9980556
USYD023F,,NSW,Gunnedah,-30.9855488893933,150.243011995726
USYD038F,,NSW,Gunnedah,-30.9855488893933,150.243011995726
USYD049M,,NSW,Gunnedah,-30.9855488893933,150.243011995726
USYD057M,,NSW,Gunnedah,-30.9855488893933,150.243011995726
USYD075F,,NSW,Gunnedah,-30.9855488893933,150.243011995726
USYD085M,,NSW,Gunnedah,-30.9855488893933,150.243011995726
USYD086M,,NSW,Gunnedah,-30.9855488893933,150.243011995726
USYD093M,,NSW,Gunnedah,-30.9855488893933,150.243011995726
M.47687.001,M47687_001,NSW,Gwydir,-29.6108333,150.545
M.50293.001,M50293_001,NSW,Gwydir,-29.8938889,150.625
82257,Gympie_F_82257,QLD,Gympie,-26.182529,152.0680932
92626,Gympie_F_92626,QLD,Gympie,-26.0863659,152.2416086
93216,Gympie_F_93216,QLD,Gympie,-26.3216376,152.6760975
93694,Gympie_F_93694,QLD,Gympie,-26.0593677,152.7803742
52516,,QLD,Gympie,-26.3213404,152.7843188
55313,,QLD,Gympie,-26.1184534,152.1841054
73111,,QLD,Gympie,-26.2864153,152.758856
82097,,QLD,Gympie,-26.1957376,152.1234644
85483,,QLD,Gympie,-26.2075675,152.0290725
86701,,QLD,Gympie,-26.1836445,152.6623743
87743,Gympie_M_87743,QLD,Gympie,-26.2961107,152.6765508
92472,,QLD,Gympie,-26.2346426,152.0103453
92522,,QLD,Gympie,-26.2301872,152.7563174
93509,,QLD,Gympie,-26.3884686,152.6850647
93509,,QLD,Gympie,-26.3884686,152.6850647
93665,,QLD,Gympie,-26.2031349,152.4387302
93797,,QLD,Gympie,-26.2031349,152.4387302
93995,,QLD,Gympie,-26.4596027,152.6774729
93995,,QLD,Gympie,-26.4596027,152.6774729
94810,,QLD,Gympie,-26.1510095,152.8490394
94810,,QLD,Gympie,-26.1510095,152.8490394
95464,Gympie_M_95464,QLD,Gympie,-26.3468736,152.6759411
96038,,QLD,Gympie,-26.4880343,152.7037496
M.50168.001,,NSW,Hawkesbury City,-33.2902778,150.9761111
SAWS13,F_SAWS13_HDS,VIC,Highlands,-37.9756695,146.3768277
SAWS1,M_SAWS01_HDS,VIC,Highlands,-37.7206048,146.3885869
SAWS9,M-SAWS09-HDS,VIC,Highlands,-36.8567727,145.5337363
SAWS12,M-SAWS12-HDS,VIC,Highlands,-37.9756695,146.3768277
SAWS106,,VIC,Highlands,-37.9756695,146.3768277
SAWS11,,VIC,Highlands,-37.9756695,146.3768277
SAWS122,,VIC,Highlands,-37.95,146.4
SAWS46,,VIC,Highlands,-38.0240777,146.370883
SAWS47,,VIC,Highlands,-38.0240777,146.370883
SAWS49,,VIC,Highlands,-37.95,146.4
SAWS50,,VIC,Highlands,-37.95,146.4
SAWS51,,VIC,Highlands,-37.95,146.4
SAWS7,,VIC,Highlands,-37.9886448,146.4243982
SAWS81,,VIC,Highlands,-37.95,146.4
SAWS94,,VIC,Highlands,-37.966667,145.95
81915_Inverell Glenn,,NSW,Inverell,-29.777272,151.108137
54445,,QLD,Isaac,-21.6885646,148.6899862
54985,,QLD,Isaac,-22.3455893,149.5357257
73177,,QLD,Isaac,-22.3455893,149.5357257
M.50519.001,Kyogle_F_M50519,NSW,Kyogle,-28.4783333,152.8586111
M.50481.001,Kyogle_M_M50481,NSW,Kyogle,-28.6105556,152.9347222
M.50418.001,Kyogle-F-50418,NSW,Kyogle,-28.6433333,152.9991667
M.50433.001,Kyogle-F-50433,NSW,Kyogle,-28.5602778,152.7980556
M.50434.001,Kyogle-F-50434,NSW,Kyogle,-28.5691667,153.0205556
M.50438.001,Kyogle-F-50438,NSW,Kyogle,-28.8947222,152.4977778
M.50471.001,Kyogle-F-M50471,NSW,Kyogle,-28.4955556,153.06
M.50420.001,Kyogle-M-50420,NSW,Kyogle,-28.5852778,153.0722222
M.50927.001,Kyogle-M-50927,NSW,Kyogle,-28.5872222,153.1011111
M.50448.001,Kyogle-M-M50448,NSW,Kyogle,-28.3788889,152.6938889
M.49289.001,Kyogle-U-M49289,NSW,Kyogle,-28.6433333,152.9991667
M.50488.001,Kyogle-U-M50488,NSW,Kyogle,-28.3488889,152.9702778
M.50355.001,M50355_001,NSW,Kyogle,-28.5744444,153.1436111
M.50374.001,M50374_001,NSW,Kyogle,-28.5452778,153.0408333
M.47068.001,,NSW,Kyogle,-28.6147222,152.9572222
M.50316.001,,NSW,Kyogle,-28.7141667,152.8063889
M.50350.001,,NSW,Kyogle,-28.3938889,152.6316667
M.50356.001,,NSW,Kyogle,-28.5280556,153.0083333
M.50360.001,,NSW,Kyogle,-28.5913889,153.0797222
M.50384.001,,NSW,Kyogle,-28.4655556,152.9183333
M.48844.001,,NSW,Lake Macquarie,-33.0025,151.5072222
81913_Laurieton Bailey,,NSW,Laurieton,-31.641707,152.807212
M.50298.001,Lismore-F-M50298,NSW,Lismore,-28.9497222,153.4158333
M.50309.001,Lismore-F-M50309,NSW,Lismore,-28.7747222,153.2730556
M.50310.001,Lismore-F-M50310,NSW,Lismore,-28.5805556,153.3744444
M.50336.001,Lismore-F-M50336,NSW,Lismore,-29.0525,153.3047222
M.50340.001,Lismore-F-M50340,NSW,Lismore,-28.6783333,153.2841667
M.50369.001,Lismore-F-M50369,NSW,Lismore,-28.5958333,153.3458333
M.50510.001,Lismore-F-M50510,NSW,Lismore,-28.8969444,153.3533333
M.50535.001,Lismore-F-M50535,NSW,Lismore,-28.885,153.2147222
M.50295.001,Lismore-U-M50295,NSW,Lismore,-28.8136111,153.3672222
M.50308.001,,NSW,Lismore,-28.9166667,153.3191667
M.50320.001,,NSW,Lismore,-28.9511111,153.3138889
M.50348.001,,NSW,Lismore,-28.655,153.4097222
M.50349.001,,NSW,Lismore,-28.8825,153.2588889
M.50352.001,Lismore-M-M50352,NSW,Lismore,-28.8308333,153.3236111
M.50368.001,,NSW,Lismore,-28.8338889,153.2272222
M.50397.001,Lismore-M-M50397,NSW,Lismore,-28.7391667,153.3875
M.50478.001,,NSW,Lismore,-28.6397222,153.3661111
M.50498.001,,NSW,Lismore,-28.8863889,153.3202778
M.50525.001,,NSW,Lismore,-29.0433333,153.2963889
C2-K4,CBTown_F_C2K4,NSW,Liverpool,-33.971434,150.929542
C3-K2,CBTown_F_C3K2,NSW,Liverpool,-34.019387,150.968509
C2-K2,CBTown_M_C2K2,NSW,Liverpool,-33.97047,150.9384
C3-K1,CBTown_M_C3K1,NSW,Liverpool,-34.018886,150.964625
C3-K3,CBTown_M_C3K3,NSW,Liverpool,-33.996048,150.97045
C2-K3,,NSW,Liverpool,-33.970847,150.930773
54945,LivSton-F-54945,QLD,Livingstone,-22.8215806,149.8818477
63479,Mackay-F-63479,QLD,Mackay,-21.4234422,149.2142038
C00093_Abigail,Mallacoota-U-Abigail,VIC,Mallacoota,-37.555094,149.73323
C01163_Annie,Mallacoota-U-Annie,VIC,Mallacoota,-37.555094,149.73323
C00055_BlinkyBill,Mallacoota-U-Blinky,VIC,Mallacoota,-37.555094,149.73323
C00092_Frankie,Mallacoota-U-Frankie,VIC,Mallacoota,-37.555094,149.73323
C00040_Solo,Mallacoota-U-Solo,VIC,Mallacoota,-37.555094,149.73323
C00053_Trip,Mallacoota-U-Trip,VIC,Mallacoota,-37.555094,149.73323
C00024_Vicky,Mallacoota-U-Vicky,VIC,Mallacoota,-37.555094,149.73323
C00025_Leafy,,VIC,Mallacoota,-37.555094,149.73323
956000005361231_Alex,F_Alex_Monaro,NSW,Monaro,-36.1873326195473,149.350302958693
956000005352956_Annie,F_Annie_Monaro,NSW,Monaro,-36.1873326195473,149.350302958693
956000005359444_Bronwen,F_Bron_Monaro,NSW,Monaro,-36.0267360831415,149.408202817969
956000005345671_CS,F_CS_Monaro,NSW,Monaro,-36.1873326195473,149.350302958693
941000024978413_Madonna,F_Madona_Monaro,NSW,Monaro,-36.1873326195473,149.350302958693
956000005361295_Mia,F_Mia_Monaro,NSW,Monaro,-36.1873326195473,149.350302958693
956000005341166_Sage,F_Sage_Monaro,NSW,Monaro,-36.0267360831415,149.408202817969
941000024438375_Tahlia,F_Tahlia_Monaro,NSW,Monaro,-36.0267360831415,149.408202817969
956000005361780_Brandy,F-Brandy-Monaro,NSW,Monaro,-36.1873326195473,149.350302958693
941000024094278_Bear,M_Bear_Monaro,NSW,Monaro,-36.0267360831415,149.408202817969
956000005346877_Drew,M_Drew_Monaro,NSW,Monaro,-36.0267360831415,149.408202817969
956000005369981_Evan,M_Evan_Monaro,NSW,Monaro,-36.0267360831415,149.408202817969
941000024438404_Hamish,M_Hamish_Monaro,NSW,Monaro,-36.0267360831415,149.408202817969
956000005368574_Jett,M_Jett_Monaro,NSW,Monaro,-36.0267360831415,149.408202817969
